bench,nodes,conf,mode,tcore_default,tresid_default,tcore_offload,tresid_offload
734.hpgmgfv_m,16,3,funneled,1435.936959,4.852205,1446.545737,4.796480
734.hpgmgfv_m,64,3,multiple,365.342534,1.244271,357.544248,1.189240
734.hpgmgfv_m,64,3,funneled,354.191696,1.176815,356.866613,1.181412
734.hpgmgfv_m,128,3,multiple,194.976740,0.660590,182.829067,0.608371
734.hpgmgfv_m,128,3,funneled,181.737767,0.624746,181.292267,0.603359
734.hpgmgfv_m,256,3,multiple,113.669354,0.380263,102.720012,0.346527
734.hpgmgfv_m,256,3,funneled,100.428803,0.334706,106.689707,0.349960
734.hpgmgfv_m,512,3,multiple,78.525700,0.261135,68.271879,0.227924
734.hpgmgfv_m,512,3,funneled,63.437610,0.214423,66.796484,0.225151
834.hpgmgfv_l,128,1,multiple,820.152491,5.431156,806.826377,5.420324
834.hpgmgfv_l,128,1,funneled,796.729460,5.276719,828.739220,5.388636
834.hpgmgfv_l,256,1,multiple,418.374999,2.689597,398.707271,2.603448
834.hpgmgfv_l,256,1,funneled,395.168355,2.676362,388.077089,2.724376
834.hpgmgfv_l,512,1,multiple,224.205051,1.499207,242.746527,1.434880
834.hpgmgfv_l,512,1,funneled,235.079617,1.437108,211.010016,1.412137
834.hpgmgfv_l,128,2,multiple,789.370600,5.233520,801.552611,5.183245
834.hpgmgfv_l,128,2,funneled,767.794252,5.057973,787.731809,5.210613
834.hpgmgfv_l,256,2,multiple,383.433267,2.586731,423.845670,2.500496
834.hpgmgfv_l,256,2,funneled,389.154535,2.500646,377.597025,2.511325
834.hpgmgfv_l,512,2,multiple,214.288632,1.408657,200.971708,1.334463
834.hpgmgfv_l,512,2,funneled,200.913620,1.322461,197.037693,1.337575
834.hpgmgfv_l,128,3,multiple,766.864854,5.053167,764.289902,5.138290
834.hpgmgfv_l,128,3,funneled,761.485490,4.906558,765.082633,5.125743
834.hpgmgfv_l,256,3,multiple,369.332232,2.481678,357.598825,2.401019
834.hpgmgfv_l,256,3,funneled,358.759476,2.456389,358.378613,2.424560
834.hpgmgfv_l,512,3,multiple,211.049469,1.312594,223.719473,1.316006
834.hpgmgfv_l,512,3,funneled,186.706052,1.234836,201.655033,1.313034
